IPCC_FLU_id;IPCC_climate_id;IPCC_FLU_name;IPCC_climate_name;Factor;Factor_uncertainty
1;1;Longterm_cultivated;Warm Temperate Moist;0.69;16
1;2;Longterm_cultivated;Warm Temperate Dry;0.76;12
1;3;Longterm_cultivated;Cool Temperate Moist;0.7;12
1;4;Longterm_cultivated;Cool Temperate Dry;0.77;14
1;5;Longterm_cultivated;Polar Moist;None;None
1;6;Longterm_cultivated;Polar Dry;None;None
1;7;Longterm_cultivated;Boreal Moist;0.7;12
1;8;Longterm_cultivated;Boreal Dry;0.77;14
1;9;Longterm_cultivated;Tropical Montane;None;None
1;10;Longterm_cultivated;Tropical Wet;0.83;11
1;11;Longterm_cultivated;Tropical Moist;0.83;11
1;12;Longterm_cultivated;Tropical Dry;0.92;13
2;1;Paddy rice;Warm Temperate Moist;1.35;4
2;2;Paddy rice;Warm Temperate Dry;1.35;4
2;3;Paddy rice;Cool Temperate Moist;1.35;4
2;4;Paddy rice;Cool Temperate Dry;1.35;4
2;5;Paddy rice;Polar Moist;1.35;4
2;6;Paddy rice;Polar Dry;1.35;4
2;7;Paddy rice;Boreal Moist;1.35;4
2;8;Paddy rice;Boreal Dry;1.35;4
2;9;Paddy rice;Tropical Montane;1.35;4
2;10;Paddy rice;Tropical Wet;1.35;4
2;11;Paddy rice;Tropical Moist;1.35;4
2;12;Paddy rice;Tropical Dry;1.35;4
3;1;Perrennial/Tree crop;Warm Temperate Moist;0.72;22
3;2;Perrennial/Tree crop;Warm Temperate Dry;0.72;22
3;3;Perrennial/Tree crop;Cool Temperate Moist;None;None
3;4;Perrennial/Tree crop;Cool Temperate Dry;None;None
3;5;Perrennial/Tree crop;Polar Moist;None;None
3;6;Perrennial/Tree crop;Polar Dry;None;None
3;7;Perrennial/Tree crop;Boreal Moist;0.72;22
3;8;Perrennial/Tree crop;Boreal Dry;0.72;22
3;9;Perrennial/Tree crop;Tropical Montane;None;None
3;10;Perrennial/Tree crop;Tropical Wet;0.82;17
3;11;Perrennial/Tree crop;Tropical Moist;0.82;17
3;12;Perrennial/Tree crop;Tropical Dry;0.93;11
4;1;Set aside (<20 yrs);Warm Temperate Moist;0.82;17
4;2;Set aside (<20 yrs);Warm Temperate Dry;0.93;11
4;3;Set aside (<20 yrs);Cool Temperate Moist;None;None
4;4;Set aside (<20 yrs);Cool Temperate Dry;None;None
4;5;Set aside (<20 yrs);Polar Moist;None;None
4;6;Set aside (<20 yrs);Polar Dry;None;None
4;7;Set aside (<20 yrs);Boreal Moist;0.82;17
4;8;Set aside (<20 yrs);Boreal Dry;0.93;11
4;9;Set aside (<20 yrs);Tropical Montane;0.88;50
4;10;Set aside (<20 yrs);Tropical Wet;0.82;17
4;11;Set aside (<20 yrs);Tropical Moist;0.82;17
4;12;Set aside (<20 yrs);Tropical Dry;0.93;11
5;1;All;Warm Temperate Moist;1;None
5;2;All;Warm Temperate Dry;1;None
5;3;All;Cool Temperate Moist;1;None
5;4;All;Cool Temperate Dry;1;None
5;5;All;Polar Moist;1;None
5;6;All;Polar Dry;1;None
5;7;All;Boreal Moist;1;None
5;8;All;Boreal Dry;1;None
5;9;All;Tropical Montane;1;None
5;10;All;Tropical Wet;1;None
5;11;All;Tropical Moist;1;None
5;12;All;Tropical Dry;1;None
